title,year,runtime,director,cast,description,url
포레스트 검프,1994,2h 22m,Robert Zemeckis,"Robert Zemeckis, Winston Groom, Eric Roth, Tom Hanks, Robin Wright","The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11
The Lord of the Rings: The Two Towers,2002,2h 59m,Peter Jackson,"Peter Jackson, J.R.R. Tolkien, Fran Walsh, Philippa Boyens, Elijah Wood","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",https://www.imdb.com/title/tt0167261/?ref_=chttp_t_12
파이트 클럽,1999,2h 19m,David Fincher,"David Fincher, Chuck Palahniuk, Jim Uhls, Brad Pitt, Edward Norton",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13
인셉션,2010,2h 28m,Christopher Nolan,"Christopher Nolan, Christopher Nolan, Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the pro... Read all",https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14
스타워즈 에피소드 5 - 제국의 역습,1980,2h 4m,Irvin Kershner,"Irvin Kershner, Leigh Brackett, Lawrence Kasdan, George Lucas, Mark Hamill","After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the gal... Read all",https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15
매트릭스,1999,2h 16m,Lana Wachowski,"Lana Wachowski, Lilly Wachowski, Lilly Wachowski, Lana Wachowski, Keanu Reeves","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16
좋은 친구들,1990,2h 25m,Martin Scorsese,"Martin Scorsese, Nicholas Pileggi, Martin Scorsese, Robert De Niro, Ray Liotta","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17
뻐꾸기 둥지 위로 날아간 새,1975,2h 13m,Milos Forman,"Milos Forman, Lawrence Hauben, Bo Goldman, Ken Kesey, Jack Nicholson","In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",https://www.imdb.com/title/tt0073486/?ref_=chttp_t_18
인터스텔라,2014,2h 49m,Christopher Nolan,"Christopher Nolan, Jonathan Nolan, Christopher Nolan, Matthew McConaughey, Anne Hathaway","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",https://www.imdb.com/title/tt0816692/?ref_=chttp_t_19
세븐,1995,2h 7m,David Fincher,"David Fincher, Andrew Kevin Walker, Morgan Freeman, Brad Pitt, Kevin Spacey","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",https://www.imdb.com/title/tt0114369/?ref_=chttp_t_20
